Team,Turnover %,Get fouled rate,2 pt rate,2 pt percentage,3 pt rate,3 pt percentage,Dreb percentage,Oreb percentage,Ft percentage,Poss/Game,ORTG,DRTG,Opponent DRTG
Abl Christian,0.202,0.261,0.672,0.479,0.328,0.31,0.738,0.275,0.704,71.2,101.2,107.8,108.3
Air Force,0.215,0.259,0.582,0.511,0.418,0.306,0.703,0.193,0.641,68.7,95.9,115.6,107
Akron,0.151,0.221,0.552,0.588,0.448,0.382,0.724,0.323,0.754,72.7,118.9,106.9,112.1
Alabama,0.127,0.251,0.457,0.57,0.543,0.358,0.697,0.3,0.767,76.9,129.6,102.4,102.4
Alabama A&M,0.161,0.279,0.66,0.475,0.34,0.35,0.727,0.251,0.738,69.1,104.1,116.7,113
Alabama St,0.179,0.239,0.615,0.468,0.385,0.318,0.705,0.302,0.705,72.9,99.4,113.7,111.1
Albany,0.18,0.201,0.624,0.528,0.376,0.326,0.703,0.299,0.659,67.6,103.3,118.3,112.3
Alcorn St,0.191,0.216,0.663,0.465,0.337,0.333,0.662,0.248,0.708,71.2,96.5,116.6,110.8
American,0.153,0.243,0.535,0.533,0.465,0.329,0.717,0.248,0.758,68,105.6,112.1,113.4
App State,0.148,0.289,0.541,0.536,0.459,0.304,0.74,0.306,0.645,66.4,106,108.3,112.7
AR-Pine Bluff,0.183,0.232,0.628,0.498,0.372,0.336,0.664,0.254,0.755,73,104.2,117.4,111.5
Arizona,0.147,0.273,0.736,0.552,0.264,0.367,0.757,0.382,0.735,73,128.7,89.7,102.8
Arizona St,0.166,0.273,0.616,0.517,0.384,0.334,0.678,0.271,0.753,72.6,116,103.5,103.3
Arkansas,0.119,0.236,0.67,0.56,0.33,0.382,0.708,0.3,0.751,75.4,127.9,102.4,103.8
Arkansas St,0.194,0.26,0.551,0.536,0.449,0.329,0.75,0.378,0.733,74.9,110.7,109.4,111.2
Army,0.168,0.23,0.467,0.507,0.533,0.32,0.743,0.272,0.717,70.3,100.1,118.7,113.7
Auburn,0.141,0.271,0.598,0.541,0.402,0.342,0.715,0.345,0.743,71.4,125.5,106.4,103.3
Austin Peay,0.151,0.252,0.62,0.53,0.38,0.353,0.725,0.278,0.734,71.5,108.1,108.5,115.1
Ball St,0.158,0.229,0.606,0.47,0.394,0.314,0.704,0.241,0.71,67.7,98.5,110.1,112.3
Baylor,0.158,0.25,0.606,0.551,0.394,0.344,0.707,0.35,0.734,71.1,122.9,106,102.1
Bellarmine,0.152,0.259,0.588,0.61,0.412,0.381,0.664,0.208,0.788,67.8,116.5,126.3,113.5
Belmont,0.177,0.244,0.543,0.606,0.457,0.41,0.728,0.275,0.686,72.1,120.6,108.6,108.7
Bethune,0.187,0.253,0.703,0.516,0.297,0.331,0.711,0.282,0.697,73.6,103.7,110.2,112.1
Binghamton,0.183,0.258,0.691,0.506,0.309,0.325,0.736,0.181,0.753,68.2,97.7,123.2,114.1
Boise St,0.166,0.286,0.569,0.527,0.431,0.343,0.779,0.319,0.787,69.5,117.4,103.9,105.6
Boston College,0.15,0.247,0.576,0.491,0.424,0.294,0.735,0.259,0.653,69.2,103.6,102.9,106.9
Boston U,0.174,0.23,0.562,0.569,0.438,0.388,0.745,0.258,0.734,66.7,111.8,120,113
Bowling Green,0.162,0.26,0.658,0.519,0.342,0.344,0.75,0.261,0.723,72.1,107.3,105.9,111.8
Bradley,0.137,0.254,0.595,0.491,0.405,0.361,0.733,0.256,0.74,71.1,111.9,108.9,108.4
Brown,0.19,0.221,0.637,0.504,0.363,0.303,0.726,0.264,0.684,69.8,98,108.9,112
Bryant,0.197,0.219,0.521,0.487,0.479,0.3,0.71,0.246,0.76,67.2,96.7,119.7,111.6
